subject_id,split,status,method,dice,hd95,ncc,ct_mean_in_brain,ct_std_in_brain
1BB033,train,ok,rigid,0.7859,21.424,-0.1338,0.5685,0.2895
1BA234,train,ok,rigid,0.8645,5.745,-0.3622,0.5532,0.2707
1BA131,train,ok,rigid,0.7482,22.494,-0.6094,0.4977,0.3433
1BC074,train,ok,rigid,0.62,34.453,-0.2674,0.5059,0.3128
1BB151,train,ok,rigid,0.6313,32.696,-0.1758,0.5517,0.3193
1BC035,train,ok,rigid,0.885,7.0,-0.2345,0.5175,0.3058
1BC023,train,ok,rigid,0.7353,23.388,-0.2736,0.5145,0.308
1BC022,train,ok,rigid,0.6694,33.601,-0.2905,0.4426,0.3289
1BA085,train,ok,rigid,0.7865,17.72,-0.4953,0.4803,0.3137
1BB175,train,ok,rigid,0.8258,15.652,-0.2587,0.5172,0.3267
1BC063,train,ok,rigid,0.5866,46.271,-0.136,0.4057,0.3555
1BB109,train,ok,rigid,0.7355,24.718,-0.2518,0.5571,0.3177
1BC070,train,ok,rigid,0.7315,22.76,-0.2541,0.5182,0.2933
1BA164,train,ok,rigid,0.8006,17.234,-0.3882,0.4472,0.2937
1BA012,train,ok,rigid,0.7986,14.422,-0.267,0.4797,0.285
1BB075,train,ok,rigid,0.7802,18.221,-0.1913,0.5537,0.2946
1BA054,train,ok,rigid,0.7824,19.131,-0.5686,0.4514,0.3186
1BB006,train,ok,rigid,0.8271,15.0,-0.2609,0.5662,0.3016
1BB085,train,ok,rigid,0.802,15.362,-0.2638,0.5509,0.308
1BB072,train,ok,rigid,0.7908,17.972,-0.2165,0.5178,0.294
1BA325,train,ok,rigid,0.8478,10.488,-0.5042,0.5513,0.2972
1BB052,train,ok,rigid,0.8127,18.028,-0.1796,0.6005,0.2784
1BB048,train,ok,rigid,0.7751,18.466,-0.2662,0.5355,0.3048
1BB198,train,ok,rigid,0.7898,20.322,-0.3488,0.5653,0.3284
1BA032,train,ok,rigid,0.7215,24.556,-0.3129,0.5003,0.2822
